X,Y,osm_id,osm_way_id,name,type,aeroway,amenity,admin_level,barrier,boundary,building,craft,geological,historic,land_area,landuse,leisure,man_made,military,natural,office,place,shop,sport,tourism,other_tags,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
173.2822889,-41.2649261,,"141565290",,,,,,,,yes,,,,,,,,,,,,,,,,"0","0","0","0",0.00000000000000,30.69176806353064
173.2829658,-41.2648008,,"141565290",,,,,,,,yes,,,,,,,,,,,,,,,,"1","0","0","1",0.00068839937536,120.69176806321634
173.2830285,-41.2649923,,"141565290",,,,,,,,yes,,,,,,,,,,,,,,,,"2","0","0","2",0.00088990257633,210.69176806292555
173.2823516,-41.2651176,,"141565290",,,,,,,,yes,,,,,,,,,,,,,,,,"3","0","0","3",0.00157830195170,300.69176806323986
173.2822889,-41.2649261,,"141565290",,,,,,,,yes,,,,,,,,,,,,,,,,"4","0","0","4",0.00177980515267,30.69176806353064
173.2813445,-41.2706242,,"141573701",Countdown,,,,,,,yes,,,,,,,,,,,,supermarket,,,"""addr:city""=>""Nelson"",""brand""=>""Countdown"",""brand:wikidata""=>""Q5176845"",""brand:wikipedia""=>""en:Countdown (supermarket)""","0","0","0","0",0.00000000000000,283.27429893185803
173.2811873,-41.2705499,,"141573701",Countdown,,,,,,,yes,,,,,,,,,,,,supermarket,,,"""addr:city""=>""Nelson"",""brand""=>""Countdown"",""brand:wikidata""=>""Q5176845"",""brand:wikipedia""=>""en:Countdown (supermarket)""","1","0","0","1",0.00017387446620,327.66694230357007
173.2811875,-41.2702342,,"141573701",Countdown,,,,,,,yes,,,,,,,,,,,,supermarket,,,"""addr:city""=>""Nelson"",""brand""=>""Countdown"",""brand:wikidata""=>""Q5176845"",""brand:wikipedia""=>""en:Countdown (supermarket)""","2","0","0","2",0.00048957452955,28.98168826408803
173.2813399,-41.2701387,,"141573701",Countdown,,,,,,,yes,,,,,,,,,,,,supermarket,,,"""addr:city""=>""Nelson"",""brand""=>""Countdown"",""brand:wikidata""=>""Q5176845"",""brand:wikipedia""=>""en:Countdown (supermarket)""","3","0","0","3",0.00066942449482,34.62562318346508
173.2813554,-41.2700613,,"141573701",Countdown,,,,,,,yes,,,,,,,,,,,,supermarket,,,"""addr:city""=>""Nelson"",""brand""=>""Countdown"",""brand:wikidata""=>""Q5176845"",""brand:wikipedia""=>""en:Countdown (supermarket)""","4","0","0","4",0.00074836124164,21.20912625268772
173.28148,-41.2698547,,"141573701",Countdown,,,,,,,yes,,,,,,,,,,,,supermarket,,,"""addr:city""=>""Nelson"",""brand""=>""Countdown"",""brand:wikidata""=>""Q5176845"",""brand:wikipedia""=>""en:Countdown (supermarket)""","5","0","0","5",0.00098962607538,61.26694563383822
173.2815357,-41.2698561,,"141573701",Countdown,,,,,,,yes,,,,,,,,,,,,supermarket,,,"""addr:city""=>""Nelson"",""brand""=>""Countdown"",""brand:wikidata""=>""Q5176845"",""brand:wikipedia""=>""en:Countdown (supermarket)""","6","0","0","6",0.00104534366687,47.43308193616764
173.2815404,-41.2697776,,"141573701",Countdown,,,,,,,yes,,,,,,,,,,,,supermarket,,,"""addr:city""=>""Nelson"",""brand""=>""Countdown"",""brand:wikidata""=>""Q5176845"",""brand:wikipedia""=>""en:Countdown (supermarket)""","7","0","0","7",0.00112398424164,46.20035579445068
